"Issue Type","Epic Link","Summary","Description","Assignee","Priority","Story Points","Status","Labels"
"Epic","","BU - Business Understanding","Cadrage du problème métier, KPIs et choix d'approche","Donald AMAH","High","5","Done","crisp-dm,business"
"Story","BU - Business Understanding","Definir le probleme metier ImmoAsk IA","Rediger la problematique : comment recommander des biens immobiliers pertinents a partir d'une annonce ou d'une requete ?","Donald AMAH","High","2","Done","bu"
"Story","BU - Business Understanding","Choisir les KPIs du projet","Selectionner Precision@K, Recall@K, F1, latence ; fixer la cible TDR : Accuracy >= 95%","Donald AMAH","High","1","Done","bu,kpi"
"Story","BU - Business Understanding","Justifier l'approche content-based","Argumenter l'absence de donnees utilisateurs et la richesse textuelle des annonces","Donald AMAH","Medium","1","Done","bu"
"Epic","","DU - Data Understanding","Exploration du dataset annonces_immobilier","Donald AMAH","High","5","Done","crisp-dm,data"
"Story","DU - Data Understanding","Charger les donnees SQL et les convertir en CSV","Parser immoask_ia.sql, extraire la table annonces_immobilier en CSV exploitable","Donald AMAH","High","2","Done","data,etl"
"Story","DU - Data Understanding","Profiler le dataset (shape, nulls, types)","Analyser la structure du dataset : 255 lignes, 10 colonnes, nulls detectes","Donald AMAH","High","1","Done","data,eda"
"Story","DU - Data Understanding","Visualiser les distributions prix ville source","Creer les histogrammes, diagrammes en barres pour identifier les tendances","Donald AMAH","Medium","2","Done","data,viz"
"Story","DU - Data Understanding","Analyser le vocabulaire des titres","Extraire les 20 mots-cles les plus frequents pour preparer le TF-IDF","Donald AMAH","Medium","2","Done","nlp,eda"
"Story","DU - Data Understanding","Detecter les anomalies","Prix a 0, titres nuls, doublons, prix trop bas","Donald AMAH","High","1","Done","data,qa"
"Epic","","DP - Data Preparation","Nettoyage et enrichissement du dataset","Donald AMAH","High","8","Done","crisp-dm,data"
"Story","DP - Data Preparation","Nettoyer les doublons et titres manquants","Dedupliquer, imputer les titres manquants depuis le document","Donald AMAH","High","2","Done","data,clean"
"Story","DP - Data Preparation","Extraire type_transaction via regex","Regex sur louer/vendre/terrain pour creer la colonne type_transaction","Donald AMAH","High","2","Done","nlp,feature"
"Story","DP - Data Preparation","Extraire type_bien via regex","Regex sur chambre-salon/appartement/villa/maison/terrain/commerce","Donald AMAH","High","2","Done","nlp,feature"
"Story","DP - Data Preparation","Normaliser ville et extraire quartier","Remplacer ville=Togo par Lome quand un quartier est detecte","Donald AMAH","Medium","2","Done","nlp,feature"
"Story","DP - Data Preparation","Construire la feature texte_modele","Concatener titre normalise + type_bien + type_transaction + ville + quartier","Donald AMAH","High","1","Done","feature"
"Epic","","MOD - Modeling","Construction du moteur de recommandation","Membre 2","High","8","Done","crisp-dm,ml"
"Story","MOD - Modeling","Vectoriser avec TF-IDF (uni + bigrams)","Creer le vectorizer, sublinear_tf=True, min_df=2","Membre 2","High","2","Done","ml,nlp"
"Story","MOD - Modeling","Calculer la matrice de similarite cosinus","Utiliser sklearn cosine_similarity sur la matrice TF-IDF","Membre 2","High","1","Done","ml"
"Story","MOD - Modeling","Implementer la fonction recommend()","Fonction prenant item_id + top_k et retournant les recommandations rangees","Membre 2","High","2","Done","ml,backend"
"Story","MOD - Modeling","Ajouter les filtres metier (modele hybride)","Filtre dur sur type_bien et type_transaction avant le ranking","Membre 2","High","2","Done","ml,hybrid"
"Story","MOD - Modeling","Sauvegarder le modele entraine","joblib.dump dans models/tfidf_model.joblib","Membre 2","Medium","1","Done","ml,persistence"
"Epic","","EVAL - Evaluation","Mesure de la performance (>= 95% Accuracy)","Membre 3","High","5","Done","crisp-dm,eval"
"Story","EVAL - Evaluation","Definir la verite terrain heuristique","Meme type_bien + meme type_transaction => pertinent","Membre 3","High","2","Done","eval"
"Story","EVAL - Evaluation","Calculer Precision@K et Recall@K","Metriques a K=1,3,5,10 sur l'ensemble du catalogue","Membre 3","High","2","Done","eval,metrics"
"Story","EVAL - Evaluation","Benchmarker differentes variantes TF-IDF","Unigrams vs bigrams, min_df=1 vs 2","Membre 3","Medium","2","Done","eval,benchmark"
"Story","EVAL - Evaluation","Verifier Accuracy >= 95% (critere TDR)","Confirmer que la precision@5 hybride >= 95%","Membre 3","Highest","1","Done","eval,kpi"
"Story","EVAL - Evaluation","Analyser les erreurs et cas 'autre'","Identifier les annonces mal classees pour plan d'amelioration","Membre 3","Medium","1","Done","eval"
"Epic","","DEP - Deployment","Mettre le modele en production","Membre 3","Medium","5","Done","crisp-dm,deploy"
"Story","DEP - Deployment","Creer le module src/recommender.py","Encapsuler le modele dans une classe Python reutilisable","Membre 3","High","2","Done","deploy,code"
"Story","DEP - Deployment","Implementer l'API FastAPI","Endpoints GET / /recommend /search /annonces","Membre 3","High","3","Done","deploy,api"
"Story","DEP - Deployment","Documenter le deploiement dans README","Instructions d'installation et d'utilisation","Membre 4","Medium","1","Done","doc"
"Epic","","PM - Project Management","Organisation equipe et livrables transverses","Membre 4","High","5","Done","pm"
"Story","PM - Project Management","Initialiser le depot Git (main/dev/feature-*)","Workflow Git avec branches protegees","Membre 4","High","1","Done","git,pm"
"Story","PM - Project Management","Alimenter le backlog Jira","Structurer les Epics CRISP-DM et les tickets associes","Membre 4","High","1","Done","jira,pm"
"Story","PM - Project Management","Rediger la documentation technique","docs/ARCHITECTURE.md et docs/METHODOLOGIE_CRISP-DM.md","Membre 4","Medium","2","Done","doc"
"Story","PM - Project Management","Preparer la presentation de soutenance","Creer le deck pptx (10-12 slides)","Membre 4","High","2","Done","presentation"
